病名-症型,症状,治法
月经先期-脾气虚证,月经周期提前 月经量多 月经色淡红 月经质清稀 神疲肢倦 气短懒言 小腹空坠 纳少 便溏 舌淡红 苔薄白 脉细弱,补脾 益气 摄血 调经
月经先期-肾气虚证,月经周期提前 月经量或多或少 月经色淡暗 月经质清稀 腰膝酸软 头晕 耳鸣 面色晦暗 面部暗斑 舌淡暗 苔白润 脉沉细,补益肾气 固冲 调经
月经先期-阳盛血热证,月经周期提前 月经量多 月经色深红 月经色紫红 月经质粘稠 心烦 面红 口干 小便短黄 大便燥结 舌质红 舌苔黄 脉数或滑数,清热 凉血 调经
月经先期-阴虚血热证,月经提前 月经量少 月经量多 月经色红 月经质稠 两颧潮红 手足心热 咽干 口燥 舌质红 苔少 脉细数,养阴 清热 调经 
月经先期-肝郁血热证,月经提前 月经量或多或少 月经色深红 月经色紫红 月经质稠 经行不畅 月经有块 少腹胀痛 胸闷胁胀 乳房胀痛 烦躁易怒 口苦 咽干 舌红 苔薄黄 脉弦数,疏肝 清热 凉血 调经
月经后期-肾虚证, 月经周期延后 月经量少 月经色暗淡 月经质清稀 腰膝酸软 头晕 耳鸣 面色晦暗 面部暗斑 舌淡 苔薄白 脉沉细,补肾 助阳 养血 调经
月经后期-血虚证, 月经周期延长 月经量少 月经色淡红 月经质清稀 小腹绵绵作痛 头晕眼花 心悸少寐 面色苍白 面色萎黄 舌质淡红 苔薄 脉细弱,补血 填精 益气 调经
月经后期-虚寒证, 月经延后 月经量少 月经色淡红 月经质清稀 小腹隐痛 喜暖喜按 腰酸无力 小便清长 大便稀溏 舌淡 苔白 脉沉迟 脉细弱,温阳 散寒 养血 调经
月经后期-实寒症, 月经周期延后 月经量少 月经色暗 月经有血块 小腹冷痛拒按 得热痛减 畏寒肢冷 面色青白 舌质淡暗 苔白 脉沉紧,温经 散寒 活血 调经
月经后期-气滞证, 月经周期延后 月经量少 月经色暗红 月经有血块 小腹胀痛 精神抑郁 经前胸胁胀痛 经前乳房胀痛 舌质正常 舌质红 苔薄白 苔微黄 脉弦或弦数,理气 行滞 和血 调经
月经后期-痰湿证, 月经后期 月经量少 月经血夹杂黏液 形体肥胖 脘闷呕恶 腹满便溏 带下量多 舌淡胖 苔白腻 脉滑,燥湿 化痰 理气 调经
月经先后无定期-肝郁证, 经行或先或后 月经量或多或少 月经色暗红 月经有血块 经行不畅 胸胁胀痛 乳房胀痛 少腹胀痛 精神郁闷 时欲太息 嗳气食少 舌苔薄白 舌苔薄黄 脉弦,疏肝 解郁 和血 调经
月经先后无定期-肾虚证, 经行或先或后 月经量少 月经色淡暗 月经质稀 头晕 耳鸣 腰酸腿软 小便频数 舌淡 苔薄 脉沉细,补肾 益气 养血 调经
月经过多-气虚证, 月经量多 月经色淡红 月经质清稀 神疲体倦 气短懒言 小腹空坠 面色皓白 舌淡 苔薄 脉细弱,补气 摄血 固冲
月经过多-血热证, 月经量多 月经色鲜红 月经色深红 月经质粘稠 月经有血块 口渴 心烦 尿黄 便结 舌红 苔黄 脉滑数,清热 凉血 固冲 止血
月经过多-血瘀证, 月经量多 月经色紫暗 月经有血块 经行腹痛 小腹胀痛 舌紫暗 舌有瘀点 脉涩,活血 化瘀 止血
月经过少-肾虚证, 月经量素少 月经量渐少 月经色暗淡 月经质稀 腰膝酸软 头晕 耳鸣 足跟痛 小腹冷 夜尿多 舌淡 脉沉弱 脉沉迟,补肾 益精 养血 调经
月经过少-血虚证, 经来血量渐少 经来点滴即净 月经色淡 月经质稀 小腹隐痛 头晕 眼花 心悸怔忡 面色萎黄 舌淡红 脉细,养血 益气 调经
月经过少-血瘀证, 经行涩少 月经色紫暗 月经有血块 小腹胀痛 血块排出后胀痛减轻 舌紫暗 舌有瘀斑 舌有斑点 脉沉弦 脉沉涩,活血 化瘀 调经
月经过少-痰湿证, 经行量少 月经色淡红 月经质粘腻如痰 形体肥胖 胸闷呕恶 带多粘腻 舌淡 苔白腻 脉滑,化痰燥湿调经
经期延长-气虚证, 经血过期不净 月经量多 月经色淡 月经质稀 倦怠乏力 气短懒言 小腹空坠 面色皓白 舌淡 苔薄 脉缓弱,补气 摄血 固冲 调经
经期延长-阴虚血热证, 经期时间延长 月经量少 月经色鲜红 月经质稠 咽干 口燥 潮热颧红 手足心热 舌红 苔少 脉细数,养阴 清热 凉血 调经
经期延长-湿热蕴结证, 经行时间延长 月经量不多 月经色暗 月经质粘稠 带下量多 带下色赤白 带下色黄 下腹热痛 舌红 苔黄腻 脉滑数,清热 祛湿 止血 调经
经期延长-血瘀证, 经行时间延长 月经量或多或少 月经色紫暗 月经有块 经行下腹疼拒按 舌质紫暗 舌有瘀点 脉弦涩,活血 祛瘀 理冲 止血
经间期出血-肾阴虚证, 经间期出血 月经量少 月经量稍多 月经色鲜红 月经质黏 头晕 耳鸣 腰膝酸软 五心烦热 便坚 尿黄,滋肾 养阴 固冲 止血
经间期出血-湿热证, 经间期出现少量阴道流血 月经色深红 月经质稠 白带中夹血 赤白带下 腰骶酸楚 下腹时痛 神疲乏力 胸胁满闷 口苦 纳呆 小便短赤 舌红 苔黄腻 脉濡 脉滑数,清利湿热 固冲 止血
经间期出血-血瘀证, 经间期出血量少 经间期出血量稍多 月经色暗红 月经色紫黑 月经有血块 少腹一侧胀痛 少腹两侧胀痛 少腹一侧刺痛 少腹两侧刺痛 胸闷烦躁 舌质紫 舌有瘀斑 脉细弦,化瘀 止血
崩漏-实热证, 经血非时暴下 经血淋沥不净又时而增多 月经色深红 月经色鲜红 月经质稠 月经有血块 唇红目赤 烦热口渴 大便干结 小便黄 舌红 苔黄 脉滑数,清热 凉血 止血 调经
崩漏-虚热证, 经血非时而下 月经量少 月经淋沥 月经色鲜红 月经质稠 心烦潮热 小便黄少 大便干结 舌质红 苔薄黄 脉细数,养阴 清热 止血 调经
崩漏-肾阴虚证, 月经紊乱无期 月经淋沥不净 月经量多 月经色鲜红 月经质稠 头晕 耳鸣 腰膝酸软 心烦 舌质偏红 苔少 脉细数,滋肾 益阴 止血 调经
崩漏-肾阳虚证, 月经紊乱无期 月经量多 月经淋沥不净 月经色淡 月经质清 畏寒肢冷 面色晦暗 腰腿酸软 小便清长 舌质淡 苔薄白 脉沉细,温肾 固冲 止血 调经
崩漏-脾虚证, 经血非时而至 崩中暴下继而淋沥 月经色淡  月经质薄 气短神疲 面色皓白 面浮肢肿 四肢不温 舌质淡 苔薄白 脉弱 脉沉细,补气 升阳 止血 调经
崩漏-血瘀证, 经血非时而下 淋漓不净 月经色紫黑 月经有血块 小腹不适 舌质紫暗 苔薄白 脉涩 脉细弦,活血 化瘀 止血 调经
闭经-肾气虚证, 月经初潮来迟 月经后期量少 闭经 头晕 耳鸣 腰膝酸软 小便频数 性欲降低 舌淡红 苔薄白 脉沉细,补肾 益气 养血 调经
闭经-肾阴虚证, 月经初潮来迟 月经后期量少 闭经 头晕 耳鸣 腰膝酸软 足跟痛 手足心热 潮热盗汗 心烦少寐 颧红 唇赤 舌红 苔少 无苔 脉细数,滋肾 益阴 养血 调经
闭经-肾阳虚证, 月经初潮来迟 月经后期量少 闭经 头晕 耳鸣 腰痛 畏寒肢冷 小便清长 夜尿多 大便溏薄 面色晦暗 目眶暗黑 舌淡 苔白 脉沉弱,温肾 助阳 养血 调经
闭经-脾虚证, 月经停闭数月 神疲肢倦 食少纳呆 脘腹胀满 大便溏薄 面色淡黄 舌淡胖 舌有齿痕 苔白腻 脉缓弱,健脾 益气 养血 调经
闭经-精血亏虚证, 月经停闭数月 头晕目花 心悸少寐 面色萎黄 阴道干涩 皮肤干枯 毛发脱落 生殖器官萎缩 舌淡 苔少 脉沉细弱,填精 益气 养血 调经
闭经-气滞血瘀证, 月经停闭数月 小腹胀痛拒按 精神抑郁 烦躁易怒 胸胁胀满 嗳气叹息 舌紫暗 舌有斑点 脉沉弦 脉涩而有力,行气 活血 祛瘀 痛经
闭经-寒凝血瘀证, 月经停闭数月 小腹冷痛拒按 得热则痛缓 形寒肢冷 面色青白 舌紫暗 苔白 脉沉紧,温经 散寒 活血 通经
闭经-痰湿阻滞证,带下量多 带下色白 带下质粘稠 形体肥胖 胸脘满闷 神疲肢倦 头晕 目眩 舌淡胖 苔白腻 脉滑,豁痰 除湿 活血 通经
痛经-寒凝血瘀证, 经前小腹冷痛 经期小腹冷痛 月经周期后延 经血量少 月经色暗 月经有血块 畏寒肢冷 面色青白 色暗 苔白,温经 散寒 化瘀 止痛
痛经-气滞血瘀证, 经前小腹冷痛 经期小腹冷痛 月经量少 经行不畅 月经色紫暗 月经有血块 胸胁胀痛 乳房胀痛 舌紫暗 舌有瘀点 脉弦涩,行气 活血 化瘀 止痛
痛经-湿热蕴结证, 经前小腹疼痛 经前小腹胀痛不适 经期小腹疼痛 经期小腹胀痛不适 有灼热感 痛连腰骶 平时小腹痛经前加剧 月经量多 经期长 月经色暗红 月经质稠 月经有血块 带下量多 带下色黄 带下质稠 带下臭秽 低热 小便黄赤 舌红 苔黄腻 脉滑数 脉濡数,清热 除湿 化瘀 止痛
痛经-气血虚弱证, 经期小腹隐痛喜按 经后小腹隐痛喜按 月经量少 月经色淡 月经质稀 神疲乏力 头晕 心悸 面色苍白 失眠多梦 舌质淡 苔薄 脉细弱,益气 养血 调经 止痛
痛经-肝肾亏损证, 经期小腹绵绵作痛 经后小腹绵绵作痛 喜按 腰骶酸痛 月经量少 月经色淡暗 月经质稀 头晕 耳鸣 面色晦暗 失眠健忘 潮热 舌质淡红 苔薄白 脉沉细,补养肝肾 调经 止痛
经行乳房胀痛-肝气郁结证, 经前乳房胀满疼痛 经期乳房胀满疼痛 乳头痒痛 疼痛拒按 经行不畅 经色暗红 经前小腹胀痛 经期小腹胀痛 胸胁胀满 精神抑郁 叹息 舌红 苔薄白 脉弦,疏肝 理气 通络 止痛
经行乳房胀痛-肝肾亏虚证, 经行两乳作胀作痛 月经量少 月经色淡 两目干涩 咽干 口燥 五心烦热 舌淡 舌红 苔少 脉细数,滋肾 养肝 通络 止痛
经行头痛-肝火证, 经行头痛 颠顶掣痛 头晕 目眩 月经量稍多 月经色鲜红 烦躁易怒 口苦 咽干 舌质红 苔薄黄 脉弦细数,清热 平肝 息风 止痛
经行头痛-血瘀证, 经前头痛剧烈 经期头痛剧烈 月经色紫暗 月经有血块 小腹疼痛拒按 胸闷不舒 舌紫暗 舌边尖有瘀点 脉细涩 脉弦涩,活血 化瘀 通窍 止痛
经行头痛-血虚证, 经期头晕 经期头痛 经后头痛 经后头晕 月经量少 月经色淡 月经质稀 心悸少寐 神疲乏力 面色苍白 舌淡 苔薄 脉细弱,养血 益气 活络 止痛
经行眩晕-气血虚弱证, 经期头晕 经期目眩 经后头晕 经后目眩 月经量少 月经色淡 月经质稀 少腹绵绵作痛 神疲肢倦 怔忡心悸 舌质淡 苔薄白 脉细弱,益气 养血 调经 止晕
经行眩晕-阴虚阳亢证, 经期头晕 经期目眩 经后头晕 经后目眩 月经量少 月经色鲜红 心烦易怒 腰酸腿软 口燥 咽干 颧赤 唇红 大便干结 舌红 苔少 脉弦细数,滋阴 潜阳 息风 止晕
经行眩晕-痰浊上扰证, 经前头重眩晕 经期头重眩晕 带下量多 带下色白 带下质黏 月经量少 月经色淡 胸闷泛恶 纳呆 腹胀 大便不爽 舌淡胖 苔厚腻 脉濡滑,燥湿 化痰 息风 止晕
经行口糜-阴虚火旺证, 经期口舌糜烂 口燥 咽干 月经量少 月经色红 五心烦热 尿少色黄 舌红 苔少 脉细数,滋阴 降火
经行口糜-胃热薰蒸证, 经行口舌生疮 口臭 月经量多 月经色深红 口干喜饮 尿黄 便结 舌苔黄厚 脉滑数,清胃 泄热
经行吐衄-肝经郁火证, 经前吐血 经前衄血 经期吐血 经期衄血 血量多 血色鲜红 月经提前 月经量少 月经不行 心烦易怒 两胁胀痛 口苦 咽干 头昏 耳鸣 尿黄 便结 舌红 苔黄 脉弦数,清肝 泻火 调经 止衄
经行吐衄-肺肾阴虚证, 经前吐血 经前衄血 经期吐血 经期衄血 血量少 血色鲜红 月经先期 月经量少 头晕 耳鸣 手足心热 两颧潮红 潮热 咳嗽 咽干 口渴 舌红 舌绛 苔花剥 苔无 脉细数,滋阴 养肺
经行浮肿-脾肾阳虚证, 经行面浮肢肿 按之没指  经行量多 月经色淡 月经质薄 腹胀 纳减 腰膝酸软 大便溏薄 舌淡 苔白腻 脉沉缓 脉濡细,温肾 化气 健脾 利水
经行浮肿-气滞血瘀证, 惊醒肢体浮肿 按之随手而起 经血运行不畅 月经色暗 月经有血块 脘闷胁胀 叹息 舌暗 苔薄白 脉弦细,理气 行滞 养血 调经
经行泄泻-脾虚, 月经前后大便溏泄 月经前后脘腹胀满 经期大便溏泄 经期脘腹胀满 神疲肢软 面浮肢肿 经行量多 月经色淡 月经质薄 舌淡红 苔白 脉濡缓,健脾 渗湿 理气 调经
经行泄泻-肾虚, 经行大便泄泻 经后大便泄泻 五更泄泻 腰膝酸软 头晕 耳鸣 畏寒肢冷 月经色淡 月经质清稀 舌淡 苔白 脉沉迟,温肾 扶阳 暖土 固肠
经行风疹块-血虚证, 经行肌肤风疹频发 瘙痒难忍 月经多延后 月经量少 月经色淡 面色不华 肌肤枯燥 舌淡红 苔薄 脉虚数,养血 祛风
经行风疹块-风热证, 经行身发红色风团 经行身发红色疹块 瘙痒不堪 月经多提前 月经量多 月经色红 口干喜饮 尿黄 便结 舌红 苔黄 脉浮数,疏风 清热
经行情志异常-肝气郁结证, 经前、经期精神抑郁不乐 情绪不宁 烦躁易怒 经后逐渐减轻或复如常人 胸闷胁胀 不思饮食 苔薄腻 脉弦细,疏肝 解郁 养血 调经
经行情志异常-痰火上扰, 经行狂躁不安 头痛 失眠 面红 目赤 心胸烦闷 经后复如常人 舌红 舌绛 苔黄厚 苔黄腻 脉弦滑而数,清热 化痰 宁心 安神
绝经前后诸症-肾阴虚, 绝经前后 头晕耳鸣 腰酸腿软 烘热汗出 五心烦热 失眠多梦 口燥 咽干 皮肤瘙痒 月经周期紊乱 月经量少 月经量多 月经色鲜红 舌红 苔少 脉细数,滋肾 养阴 育阴 潜阳
绝经前后诸症-肾阳虚, 绝经前后 头晕耳鸣 腰痛如折 腹冷阴坠 形寒肢冷 小便频数 小便失禁 带下量多 月经不调 月经量多 月经量少 色淡质稀 精神萎靡 面色晦暗 舌淡 苔白滑 脉沉细而迟,温肾 壮阳 填精 养血
绝经前后诸症-肾阴阳两虚, 绝经前后 乍寒乍热 烘热汗出 月经紊乱 月经量少 月经量多 头晕 耳鸣 健忘 腰背冷痛 舌淡 苔薄 脉沉弱,阴阳双补
绝经前后诸症-心肾不交, 绝经前后 心烦失眠 心悸易惊 情志失常 月经周期紊乱 月经量少 月经量多 月经色鲜红 头晕 健忘 腰酸乏力 舌红 苔少 脉细数,滋阴 补血 养血 安神
带下过多-脾虚证,带下量多 带下色白 带下质地稀薄 带下如涕如唾 带下无臭味 面色萎黄 面色皓白 神疲乏力 气少懒言 倦怠嗜睡 纳少 便溏 舌体胖 舌质淡 舌边有齿痕 苔薄白 苔白腻 脉细缓,健脾 益气 升阳 除湿
带下过多-肾阳虚证,带下量多 带下色淡 带下质清稀如水 带下绵绵不断 面色晦暗 畏寒肢冷 腰背冷痛 小腹冷感 夜尿频 小便清长 大便溏薄 舌质淡 苔白润 脉沉迟,温肾 助阳 涩精 止带
带下过多-阴虚夹湿证,带下量较多 带下质稍稠 带下色黄 带下赤白相间 带下有臭味 阴部灼热 阴部瘙痒 五心烦热 失眠多梦 咽干 口燥 头晕 耳鸣 腰酸 腿软 舌质红 苔薄黄 苔黄腻 脉细数,滋阴 益肾 清热 祛湿
带下过多-湿热下注证,带下量多 带下色黄 带下呈脓性 带下气味臭秽 外阴瘙痒 阴中灼热 全身困重乏力 胸闷纳呆 小腹作痛 口苦 口腻 小便黄少 大便粘滞难解 舌质红 舌苔黄腻 脉滑数,清热 利湿 止带
带下过多-湿毒蕴结证,带下量多 带下色黄绿 带下呈脓性 五色带下 带下质粘稠 带下臭秽难闻 小腹胀痛 腰骶胀痛 烦热 头昏 口苦 咽干 小便短赤 小便色黄 大便干结 舌质红 苔黄腻 脉滑数,清热 解毒 利湿 止带
带下过少-肝肾亏损证,带下量少 带下无臭味 阴部干涩 阴部瘙痒 阴部萎缩 性交涩痛 头晕 耳鸣 腰膝酸软 烘热汗出 夜寐不安 小便黄 大便干结 舌红津少 少苔 脉沉细,滋补肝肾 益精 养血
带下过少-血瘀津亏证,带下量少 阴道干涩 性交疼痛 精神抑郁 烦躁 易怒 小腹疼痛拒按 胸胁胀痛 乳房胀痛 经量少 闭经 舌质暗紫 舌边瘀斑 脉弦涩,补血 益精 活血 化瘀
妊娠恶阻-胃虚证, 妊娠早期 恶心 呕吐 甚至食入即吐 脘腹胀闷 不思饮食 头晕体倦 怠惰思睡 舌淡 苔白 脉缓滑无力,健胃 和中 降逆 止呕
妊娠恶阻-肝热证, 妊娠早期 呕吐酸水 呕吐苦水 胸胁胀满 嗳气叹息 头晕 目眩 口苦 咽干 渴喜冷饮 便秘溲赤 舌红 苔黄燥 脉弦滑数,清肝 和胃 降逆 止呕
妊娠恶阻-痰滞证, 妊娠早期 呕吐痰涎 胸膈满闷 不思饮食 口中淡腻 头晕 目眩 心悸气短 舌淡胖 苔白腻 脉滑,化痰 除湿 降逆 止呕
异位妊娠-胎元阻络证, 停经 不规则阴道流血 下腹隐痛 B超检查一侧附件区或有包块 血HCG阳性 舌质暗 苔薄 脉弦滑,化瘀 消Y 杀胚
异位妊娠-胎瘀阻滞证, 停经 小腹坠胀不适 B超检查或有一侧附件区局限性包块 血HCG曾经阳性转为阴性 舌质暗 苔薄 脉弦细涩,化瘀 消Y
异位妊娠-气血亏脱证, 停经 不规则阴道流血 突发下腹剧痛 血HCG阳性 B超提示有盆腔、腹腔积液 面色苍白 冷汗淋漓 四肢厥冷 烦躁不安 舌淡 苔白 脉细微,益气 止血 固脱
异位妊娠-正虚血瘀证, 输卵管妊娠发生破损不久 腹痛拒按 不规则阴道流血 血HCG阳性 B超检查盆腔一侧有混合型包块 头晕神疲 舌质暗 苔薄 脉细弦,益气 养血 化瘀 杀胚
异位妊娠-瘀结成徵证, 输卵管发生破损已久 腹痛减轻或消失 小腹坠胀不适 血HCG曾经阳性转为阴性 检查盆腔一侧有局限的混合型包块 舌质暗 苔薄 脉弦细涩,活血 化瘀 消Y
胎漏_胎动不安-肾虚证, 妊娠期腰膝酸软 腹痛下坠 阴道少量流血 血色暗淡 屡孕屡堕 头晕 耳鸣 小便频数 夜尿多 舌淡 苔白 脉沉滑尺弱,固肾 安胎 佐以益气
胎漏_胎动不安-气血虚弱证, 妊娠期 阴道少量下血 腰酸 小腹空坠而痛 伴有阴道少量流血 血色淡红 血质稀薄 神疲肢倦 面色皓白 心悸气短 舌质淡 苔薄白 脉滑无力,益气 养血 固冲 安胎
胎漏_胎动不安-实热证, 妊娠期腰酸 小腹灼痛 阴道少量流血 血色鲜红 血色深红 血质稠 渴喜冷饮 小便短黄 大便秘结 舌红 苔黄而干 脉滑数 脉弦数,清热 凉血 固冲 止血
胎漏_胎动不安-虚热证, 妊娠期腰酸 小腹灼痛 阴道少量流血 血色鲜红 血质稀 心烦不安 五心烦热 咽干少津 便结溺黄 舌红 苔少 脉细数,滋阴 清热 养血 安胎
胎漏_胎动不安-血瘀证, 宿有徵积 孕后常有腰酸 下腹刺痛 阴道不时流血 血色暗红 妊娠期不慎跌仆闪挫 妊娠期劳力过度 妊娠期手术创伤 继之腰酸腹痛 胎动下坠 阴道少量流血 大小便正常 舌暗红 舌有瘀斑 苔薄 脉弦滑 脉沉弦,活血 化瘀 补血 安胎
胎漏_胎动不安-湿热证, 妊娠期腰酸腹痛 阴道少量流血 淋沥不尽 血色暗红 低热起伏 小便黄赤 大便黏 舌质红 苔黄腻 脉滑数 脉弦数,清热 利湿 补肾 安胎
堕胎-胎堕难留证, 多由胎漏、胎动不安发展而来 阴道流血增多 血色红有块 小腹坠胀疼痛加剧 会阴坠胀 羊水溢出 舌质正常 舌质紫暗 舌边间有瘀点 苔薄 脉滑 脉涩,祛瘀 下胎
堕胎-胎堕不全证, 胎陨之后 尚有部分组织残留于子宫 阴道流血不止 腹痛阵阵 出血如崩 心悸气短 面色苍白 头晕 目眩 舌淡紫 苔白 脉沉细无力,益气 祛瘀
胎死不下-气血虚弱证, 胎死不下 小腹隐痛 小腹冷感 阴道流淡红色血水 头晕 眼花 心悸气短 精神倦怠 面色苍白 舌淡 苔白 脉细弱,益气 养血 活血 下胎
胎死不下-瘀血阻滞证, 胎死不下 小腹刺痛 小腹胀痛 阴道流血 血色紫暗有块 面色青暗 口气恶臭 舌紫暗 舌苔厚腻 脉沉涩,活血 祛瘀 燥湿 行气
滑胎-肾虚证, 屡孕屡堕 应期而堕 精神萎靡 头晕 耳鸣 腰酸膝软 小便频数 目眶暗黑 面色晦暗 舌质淡 苔白 脉沉弱,补肾 益气 固冲
滑胎-气血虚弱证, 屡孕屡堕 头晕 眼花 神倦乏力 心悸气短 面色苍白 舌质淡 苔薄 脉细弱,益气 养血 固冲
滑胎-血瘀证, 素有Y瘕之疾 孕后屡孕屡堕 少腹隐痛 少腹胀痛 肌肤无华 舌质紫暗 舌有瘀斑 苔薄 脉细弦 脉涩,祛瘀 消Y 固冲
葡萄胎-气血虚弱证, 孕期阴道不规则流血 血量多 血色淡 血质稀 腹大异常 无胎动 无胎心音 腹部隐痛 神疲乏力 头晕 眼花 心悸 失眠 面色苍白 舌质淡 苔薄 脉细弱,益气 养血 活血 下胎
葡萄胎-气滞血瘀证, 孕期阴道不规则流血 血量多 血量少 血色紫暗有块 腹大异常 无胎动 无胎心音 腹部胀痛 胸胁胀满 烦躁易怒 舌质紫暗 舌有瘀点 脉涩 脉沉弦,理气 活血 祛瘀 下胎
葡萄胎-寒湿瘀滞证, 孕期阴道不规则流血 血量多 血量少 血色紫暗有块 腹大异常 无胎动 无胎心音 小腹冷痛 形寒肢冷 舌质淡 苔白腻 脉沉紧,散寒 除湿 逐水 化瘀 下胎
葡萄胎-痰浊凝滞证, 孕期阴道不规则流血 血量少 血色暗 腹大异常 无胎动 无胎心音 形体肥胖 胸胁满闷 呕恶痰多 舌质淡 苔腻 脉滑,化痰 除湿 行气 下胎
