病名-证型,症状,治法
产后血晕-血虚气脱证,产时失血过多 产后失血过多 晕] 面色苍白 心悸愦闷 昏不知人 眼闭口开 手撒肢冷 冷淋漓 舌淡 无舌苔 脉微欲绝 脉浮大而虚,益气 固脱
产后血晕-瘀阻气闭证,产后恶露不下 恶露甚少 少腹疼痛拒按 头晕眼花 不能起坐 心下急满 气粗喘促 痰涌气急 神昏口噤 不省人事 两手握拳 牙关紧闭 面色青紫 唇舌紫暗 脉涩,行血 遂瘀
产后痉证-阴血亏虚证,产后出血过多 头项强直 四肢抽搐 牙关紧闭 面色苍白 面色萎黄 舌淡红 无舌苔 少舌苔 脉虚细无力,滋阴 养血 柔肝 息风
产后痉症-邪毒感染证,产后头项强痛 发热恶寒 牙关紧闭 口角抽动 面呈苦笑 项背强直 角弓反张 舌质淡红 苔薄白 脉浮大而弦,解毒 镇痉 理血 祛风
产后发热-感染邪毒证,产后发热恶寒 高热寒战 小腹疼痛拒按 恶露初时量多 后恶露量少 恶露色紫暗 恶露质如败酱 恶露臭秽 心烦不宁 口渴喜饮 小便短赤 大便燥结 舌红 舌苔黄 舌苔干 脉数有力,清热 解毒 凉血 化瘀
产后发热-外感风寒证,产后恶寒发热 头痛 身疼 鼻塞流涕 咳嗽 无 舌薄白 脉浮紧,养血 祛风 散寒 解表
产后发热-外感风热证,产后发热 微 缍穹 头痛 咳嗽 黄痰 咽痛口干 口渴 恶露正常 无下腹痛 舌红 舌苔薄黄 脉浮数,辛凉 解表 疏风 清热
产后发热-血瘀证,产后乍寒乍热 恶露不下 恶露甚少 恶露色紫暗 恶露有块 小腹疼痛拒按 舌紫暗 舌有瘀点 舌有瘀斑 苔薄 脉弦涩有力,活血 祛瘀 和营 除热
产后发热-血虚证,产时失血过多 产后失血过多 身有微热 头晕眼花 心悸少寐 恶露或多或少 恶露色淡 恶露质稀 小腹绵绵作痛 小腹喜按 舌淡红 舌苔薄白 脉细弱,养血 益气 和营 退热
产后腹痛-气血两虚证,产后小腹隐隐作痛 小腹喜按喜揉 恶露量少 恶露色淡红 恶露质稀无块 面色苍臼 头晕眼花 心悸怔忡 大便干结舌质淡 苔薄白 脉细弱,补血 益气 缓急止痛
产后腹痛-瘀滞子宫证,产后小腹疼痛 小腹拒按 小腹得热痛缓 恶露量少 恶露涩滞不畅 恶露色紫暗 恶露有块 面色青白 胸胁胀痛 舌质紫暗 苔薄 脉沉紧 脉弦涩,活血 化瘀 温经 止痛
产后腹痛-寒凝血瘀证,产后小腹冷痛 小腹得热痛减 小腹不喜揉按 恶露量少 恶露色紫暗 恶露有块 面色青臼 四肢不温 舌质暗淡 苔白 脉沉紧,温经 散热 化瘀 止痛
产后恶露不绝-气虚证,产后恶露过期不止 恶露量多 恶露色淡红 恶露质稀 恶露无臭味 面色胱白 精神倦怠 四肢无力 气短懒言 小腹空坠 舌淡 苔薄白 脉缓弱,益气摄血 固冲
产后恶露不绝-血热证,产后恶露过期不止 恶露量较多 恶露色鲜红 恶露质黏稠 口燥咽干 面色潮红 舌红舌 苔少 脉细数无力,养阴 清热 凉血 止血
产后恶露不绝-血瘀证,产后恶露过期不止 恶露淋沥量少 恶露突然量多 恶露色暗有块 小腹疼痛拒按 块下痛减 舌紫暗 舌有瘀点 舌苔薄 脉弦涩,活血 化瘀 理血 归经
产后身痛-血虚证,产后遍身酸痛 肢体麻木 关节酸楚 面色萎黄 头晕心悸 舌淡 舌苔薄白 脉细无力,补血 益气 通络 止痛
产后身痛-血瘀证,产后遍身疼痛 关节刺痛 关节屈伸不利 关节按之痛甚 恶露量少 恶露色暗 小腹疼痛拒按 舌紫暗 舌苔薄白 脉弦涩,养血 活络 行瘀 止痛
产后身痛-外感证,产后遍身疼痛 项背不舒 关节不利 恶风畏寒 关节肿胀 关节重着 肢体麻木 舌淡 舌苔薄白 脉浮紧,养血 祛风 散寒 除湿
产后身痛-肾虚证,产后腰膝疼痛 产后足跟疼痛 艰于俯仰 头晕耳鸣 夜尿多 舌淡暗 舌苔薄 脉沉细弦,补肾 填精 强腰 壮骨
产后自汗盗汗-气虚证,产后汗出过多 恶风身冷 气短懒言 面色s白 倦怠乏力 舌质淡 苔薄白 脉细弱,益气 固表 和营 止汗
产后自汗盗汗-阴虚证,产后睡中 面色潮红 头晕耳鸣 口燥咽干 渴不思饮 五心烦热 腰脓酸软 舌质红 舌苔少 脉细数,益气 养阴 生津 敛汗
产后大便难-血虚津亏证,产后大便干燥 大便艰涩难下 腹无胀痛 饮食正常 心悸少寐 肌肤不润 面色萎黄 舌淡 苔薄白 脉细弱,滋阴 养血 润肠 通便
产后大便难-脾肺气虚证,产后大便数日不解 大便难 神倦乏力 气短多 舌淡 苔薄白 脉缓弱,补脾 益肺 润肠 通便
产后大便难-阳明腑实证,产后大便艰结 大便多日不解 身微热 脘腹胀满疼痛 矢气臭秽 口臭 口舌生疮 舌红 舌苔黄 舌苔黄燥 脉弦数,通腑 泄热 养血 通便
产后小便不通-气虚证,产后小便不通 小便胀急疼痛 精神萎靡 气短懒言 倦怠乏力 面色少华 舌淡 苔薄白 脉缓弱,益气 生津 宣肺 行水
产后小便不通-肾虚证,产后小便不通 小便胀急疼痛 坐卧不宁 腰脓酸软 面色晦暗 舌淡 舌苔臼 脉沉细无力 尺脉弱,补肾 温阳 化气 利水
产后小便不通-气滞证,产后小便不通 小腹胀痛 情志抑郁 胸胁胀痛 乳房胀痛 烦闷不安 舌淡红 舌苔薄白 脉弦,疏肝 理气 行水 利尿
产后小便不通-血瘀证,产程不顺 产时损伤膀胱 产后小便不通产后 小便点滴而下 尿色混浊带血丝 小腹胀满刺痛 小腹乍寒乍热 舌暗 苔薄白 脉沉涩,养血 活血 祛瘀 利尿
产后小便淋痛-湿热蕴结证,产时不顺 产后突感小便频急 小便淋沥不畅 小便灼热刺痛 小腹疼痛胀急 尿黄赤 尿混浊 口渴不欲饮 心烦 舌红 舌苔黄腻 脉滑数,清热 利湿 通淋
产后小便淋痛-肾阴亏虚证,产后小便频数淋沥 尿道灼热疼痛 尿少 尿色深黄 五心烦热 腰膝酸软 头晕耳呜 舌红 少舌苔 脉细数,滋肾 养阴 通淋
产后小便淋痛-肝经郁热证,产后小便艰涩而痛 小便余沥不尽 尿色红赤 情志抑郁 心烦易怒 小腹胀干 大便干结 舌红 舌苔黄 脉弦数,疏肝 清热 通淋
缺乳-气血虚弱证,产后乳少 乳汁清稀 乳房柔软 乳房无胀感 面色少华 倦怠乏力 神疬食少 舌质淡 苔薄白 脉细弱,补齐 养血 佐以通乳
缺乳-肝郁气滞证,产后乳少 乳汁浓稠 乳房胀硬 乳房疼痛 胸胁胀满 情志抑郁 食欲不振 舌质正常 苔薄黄 脉弦 脉弦数,疏肝 解郁 通络 下乳
乳汁自出-气虚失摄证,产后乳汁自出 乳汁量少 乳汁质清稀 乳房柔软无胀感 面色神疲乏力 舌质淡 苔薄白 脉细弱,补气 养血 佐以固摄
乳汁自出-肝经郁热证,产后乳汁自 乳汁量多 乳汁质稠 乳房胀痛 胸胁胀满 情志抑郁 烦躁易怒 口苦咽干 便秘尿黄 舌质红 苔薄黄 脉弦数,疏肝 解郁 清热 敛乳
产后情志异常-心血不足证,产后精神抑郁 沉默寡言 情绪低落 悲伤欲哭 心神不宁 失眠多梦 健忘心悸 恶露量多 神疲乏力 面色苍白 面色萎黄 舌质淡 苔薄白 脉细弱,养血 滋阴 补心 安神
产后情志异常-肝气郁结证,产后心情抑郁 心烦易怒 心神不安 夜不入寐 恶梦纷纭 惊恐易醒 恶露量多 恶露量少 恶露色紫暗 恶露有血块 胸胁胀痛 乳房胀痛 舌淡红 舌苔薄 脉弦 脉弦细,疏肝 解郁 镇静 安神
产后情志异常-血瘀证,产后抑郁寡欢 默默不语 神思恍惚 失眠多梦 神志错乱 狂言妄语 喜怒无常 哭笑不休 恶露不下 恶露色紫暗 恶露有血块 小腹疼痛 小腹拒按 面色晦暗 舌质紫暗 舌有瘀斑 舌苔白 脉弦 脉涩,活血 化瘀 镇静 安神
