病名-证型,症状
不孕症-肾气虚证,婚久不孕 月经不调 停经 月经量多 月经量少 月经色淡暗 月经质稀 腰酸膝软 头晕耳鸣 精神疲倦 小便清长 舌淡 舌苔薄白 脉沉细 
不孕症-肾阳虚证,婚久不孕 初潮延迟 月经后期 月经量少 月经色淡 月经质烯 停经 带下量多 带下[稀如水 腰膝酸冷 性欲淡漠 面色晦暗 大便溏薄 小便清长 舌淡 舌苔白 脉沉迟
不孕症-肾阴虚证,婚久不孕 月经先期 月经量少 月经色红 月经质稠 停经 带下量少 阴中干涩 腰酸膝软 头晕耳鸣 形体消 五心烦热 失眠多梦 舌淡 舌红 少舌苔 脉细 脉细数
不孕症-肝气郁结证,婚久不孕 月经周期先后不定 月经量多 月经量少 月经色暗 月经有血块 经行腹痛 经前胸胁胀痛、经前乳房胀痛 情志抑郁 烦躁易怒 舌淡红 苔薄白 脉弦
不孕症-痰湿内阻证,婚久不孕 月经后期 停经 带下量多 带下色白 带下质黏 形体肥胖 胸闷呕恶 心悸头晕 舌淡胖 苔白腻 脉滑
不孕症-瘀滞胞宫证,婚久不孕 月经后期 月经量多 月经量少 月经色紫黑 月经有血块 痛经 小腹疼痛 少腹疼痛  肛门坠胀不适 舌质紫暗 舌边有瘀点 脉弦涩
Y瘕-气滞血瘀证,下腹包块质硬 下腹胀 下腹痛 经期延长 月经量多 月经色暗 月经夹血块 经行小腹疼痛 精神抑郁 善太息 胸胁胀闷 乳房胀痛 面色晦暗 肌肤不润 舌质暗 舌边见瘀点 舌见斑 苔薄白 脉弦涩
Y瘕-寒凝血瘀证,下腹包块质硬 小腹冷痛 喜温 月经后期 月经量少 经行腹痛 月经色暗淡 月经有血块 面色晦暗 形寒肢冷 手足不温 舌质淡暗 舌边见瘀点 舌边见瘀斑 苔白 脉弦紧
Y瘕-痰湿瘀结证,下腹包块按之不坚 小腹胀 小腹满 月经后期 闭经 月经质黏稠 月经夹血块 体形肥胖 胸脘痞闷 肢体困倦 带下量多 带下色白 带下质黏稠 舌暗淡 舌边见瘀点 舌边见瘀斑 苔白腻 脉弦滑 脉沉滑
Y瘕-气血瘀证,下腹部结块 下腹空坠 月经量多 经期延长 月经色淡红 月经有血块 经行下腹痛 经后下腹痛 面色无华 气短懒言 语声低微 倦怠嗜卧 纳少便溏 舌质暗淡 舌边有瘀点 舌边有瘀斑 苔薄白 脉细涩
Y瘕-肾血瘀证,下腹部积抉 下腹胀 下腹痛 月经后期 月经量多 月经量少 月经色紫暗 月经有血抉 面色晦暗 婚久不孕 腰膝酸软 小便醭 夜尿多 舌质淡暗 舌边见瘀点 舌边见瘀斑 苔白润 脉沉涩
Y瘕-湿热瘀阻证,下腹积块 小腹胀 小腹痛 带下量多 带下色黄 月经量多 经期延长 月经经色暗 月经有血抉 月经质黏稠 经行小腹疼痛 身热口渴 心烦不宁 大便秘结 小便黄赤 舌暗红 舌边见瘀点 舌边见瘀斑 苔黄腻 脉弦滑数
阴挺-气虚证,子宫下移 子宫脱缬谝醯揽谕 劳则加剧 小腹下坠 少气赖言 四肢乏力 面色少华 小便频数  带下量多 色白质稀 舌淡苔薄 脉虚细
阴挺-肾虚证,子宫下移 子宫脱出于阴道口外 劳则加剧 小腹下坠 腰膝酸软 头晕耳鸣 小便G数 入夜尤甚 舌淡 苔薄 脉沉弱
阴痒-肝肾阴,阴部干涩 阴部奇痒难忍 阴部皮肤变白 阴部皮肤厚 阴部皮肤萎缩 阴部皮肤皲裂破溃 五心烦热 头晕目眩 时有烘热 腰酸膝软 舌红 苔少 脉弦细而数
阴痒-湿热下注证,阴部瘙痒灼痛 带下量多 带下色黄如脓 带下稠黏 带下臭秽 头晕目眩 口苦咽干 心烦不宁 便秘溲赤 舌红 苔黄腻 脉弦滑而数
阴痒-湿虫滋生证,阴部瘙痒 奇痒难忍 灼热疼痛 带下量多 带下色黄 带下呈泡沫状 带下色白如豆渣状 带下臭秽 心烦少寐 胸闷呃逆 口芒咽干 小便短赤 舌红 苔黄腻 脉滑数
阴疮-热毒证,阴部生疮 灼热结块 溃烂流脓 黏稠臭秽 恶寒发热 头晕目眩 口苦咽干 心烦不宁 便秘尿黄 舌红 苔黄 脉滑数
阴疮-寒湿证,阴疮坚硬 皮色不变 日久不愈 浓水淋沥 神疲倦怠 食少纳呆 舌淡 苔白腻 脉细弱
急性盆腔炎-热毒炽盛证,下腹胀痛 下腹灼痛剧烈 {热 壮热不退 恶寒 寒战 带下量多 带下色黄 带下赤白杂下 带下味臭秽 口苦烦渴 精神不振 月经量多 崩中下血 大便秘结 小便短赤 舌红 苔黄厚 舌苔黄 脉滑数 脉洪数
盆腔炎性疾病后遗症-湿毒壅盛证,下腹胀痛拒按 腰骶部胀痛难忍 发热 恶寒 {热不退 带下量多 带下色黄绿如脓 带下味臭秽 月经量多 经期延长 月经淋沥不尽 口苦口腻 大便溏泄 小便短少 舌红 苔黄腻 脉滑
盆腔炎性疾病后遗症-湿热蕴结证,下腹胀痛 腰骶部胀痛 发热 热萜鸱 搴热往来 带下量多 带下色黄味臭 经期延长 月经淋沥不止 口腻纳呆 小便黄 大便溏 大便燥结 舌红 苔黄厚 脉滑
盆腔炎性疾病后遗症-温热瘀结证,少腹胀痛 痛连腰骶 经行加重 劳累时加重 下腹Y块 带下量多 带下色黄 脘闷纳呆 口腻不欲饮 大便溏 大便秘结 小便黄赤 舌暗红 舌苔黄腻 脉滑 脉弦滑
盆腔炎性疾病后遗症-气滞血瘀证,下腹胀痛 下腹刺痛 情志不畅则腹痛加重 月经量多 月经有瘀块 瘀块排缭蛲淳 胸胁、乳房胀痛 或伴带下量多 色黄质稠 或婚久不孕;舌紫暗或有瘀点 苔白或黄 脉弦涩
盆腔炎性疾病后遗症-寒湿瘀滞证,下腹冷痛 下腹刺痛 腰骶冷痛 得温则减 带下量多 带下色白 带下质稀 月经量少 月经错后 月经色暗 月经夹血抉 大便溏泄 婚久不孕 舌质淡暗 舌有瘀点 苔白腻 脉沉迟 脉沉涩
盆腔炎性疾病后遗症-气血瘀证,小腹隐痛 小腹坠痛 缠绵日久 痛连腰骶 下腹Y块 带下量多 带下色白 带下质稀 经期延长 月经量多 经血淡暗 精神蒌靡 体倦乏力 食少纳呆 舌淡暗 舌有瘀点 苔白 脉弦细 脉沉涩
盆腔炎性疾病后遗症-肾血瘀证,下腹绵绵作痛 下腹刺痛 痛连腰骶 遇I累则加重 喜温喜按 头晕耳鸣 畏寒肢冷 伴月经后期 月经量少 经血暗夹块 夜尿频多 婚久不孕 舌暗淡 苔白 脉沉涩
子宫内膜异位症与子宫腺疾病-气滞血瘀证,经前小腹胀痛 经期小腹胀痛  拒按 后阴坠胀欲便 经行量或多或少 行经时间延长 色暗有血块 块下而痛稍减 盆腔有包块或结节 经前心烦易怒 胸胁 乳房胀痛 口干便结 舌紫暗 舌有瘀斑 瘀点 苔薄白 脉弦涩
子宫内膜异位症与子宫腺疾病-寒凝血瘀证,经前小腹冷痛 经期小腹冷痛  拒按 得热痛减 经行量少 月经色紫暗 月经有抉 经血淋沥不 月经延后 盆腔有包块 盆腔有结节 形寒肢冷 大便不实 舌淡胖 舌紫暗 舌有瘀斑 舌有瘀点 舌苔白 脉沉迟而涩
子宫内膜异位症与子宫腺疾病-湿热瘀阻证,经前小腹灼热疼痛 经期小腹灼热疼痛 拒按 得热增痛 月经量多 月经色红 月经质稠 月经有血块 月经淋漓不尽 盆腔有包块 盆腔有结块 带下量多 带下色黄 带下质黏 带下味臭气 身热口渴 头身肢体沉重刺痛 腰部胀痛 小便不利 便溏不爽 舌质紫红 舌苔黄 脉滑数 脉涩
子宫内膜异位症与子宫腺疾病-气虚血瘀证,经期腹痛 肛门坠胀不适 经期延长 月经色暗淡 月经质N 月经夹血抉 盆腔有结节 盆腔有包抉 面色淡 面色晦暗 神疲乏力 少气懒言 纳差便溏 舌淡胖 边尖有斑 苔薄白 脉沉涩
子宫内膜异位症与子宫腺疾病-肾血瘀证,经前腹痛 经期腹痛 月经先后无定期 经量或多或少 色暗有抉 盆腔有结节 盆腔有包块 腰膝酸软 腰脊刺痛 神疲肢倦 头晕耳鸣 面色晦暗 性欲减退 夜尿频 舌质暗淡 苔白 脉沉细涩
子宫内膜异位症与子宫腺疾病-痰瘀互结证,经前小腹痛 经期小腹痛 拒按 盆腔有包块 盆腔有结节 月经量多 月经有血块 带下量多 带下色白质稠 形体肥胖 头晕 肢体沉重 胸闷纳呆 呕恶痰多 舌紫暗 舌边尖有瘀斑 苔腻 脉弦滑 脉涩
多卵巢综合征-肾阴虚,月经初潮迟至 月经后期 月经量少 月经色淡质稀 闭经 月经延长 崩漏不止 婚久不孕 形体瘦小 面额痤疮 唇周细须显现 头晕耳鸣 腰膝酸软 手足心热 便秘溲黄 舌质红 少苔 无苔 脉细数
多卵巢综合征-肾阳虚,月经初潮迟至 月经后期 月经量少 月经色淡 月经质稀 闭经 月经周期紊乱 月经经量多 月经淋沥不尽 婚久不孕 形体较胖 腰痛时作 头晕耳鸣 面额痤疮 性毛浓密 小便[长 大便时溏 舌淡 苔白 脉沉弱
多卵巢综合征-脾痰湿证,月经后期 量少色淡 月经稀发 闭经 形体肥胖 多毛 头晕胸闷 喉间多痰 肢倦神疲 脘腹胀闷 带下量多 婚久不孕 舌体胖大 色淡 苔厚腻 脉沉滑
多卵巢综合征-气滞血瘀证,月经后期量少 月经有抉 闭经 精神抑郁 烦躁易怒 胸胁胀满 乳房胀痛 舌质暗红 舌有瘀点、瘀斑 脉沉弦涩
多卵巢综合征-肝郁化火证,月经量少 闭经 月经紊乱 月经崩漏 月经淋沥 毛发浓密 面部痤疮 经前胸胁胀痛 经前乳房胀痛 肢体肿胀 大便秘结 小便黄 带下量多 外阴瘙痒 舌红 舌苔黄厚 脉沉弦 脉弦数
